col,row,name,blank_manifest,alpha_bbox_local,visible_pixels,partial_alpha_pixels,touch_left,touch_right,touch_top,touch_bottom,outside_cell_pixels
5,7,tidal_vertical_wall_c,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
6,7,tidal_wall_foot_left,no,"(0, 0, 32, 32)",968,0,true,true,true,true,0
7,7,tidal_wall_foot_center,no,"(0, 0, 32, 32)",912,0,true,true,true,true,0
8,7,tidal_wall_foot_right,no,"(0, 0, 32, 32)",996,0,true,true,true,true,0
9,7,tidal_ground_edge_left,no,"(0, 0, 32, 32)",996,0,true,true,true,true,0
10,7,tidal_ground_edge_right,no,"(0, 0, 32, 32)",996,0,true,true,true,true,0
11,7,tidal_stone_full_variant_a,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
12,7,tidal_stone_full_variant_b,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
13,7,tidal_stone_full_variant_c,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
14,7,tidal_ground_to_wall_transition_a,no,"(0, 0, 32, 32)",968,0,true,true,true,true,0
15,7,tidal_ground_to_wall_transition_b,no,"(0, 0, 32, 32)",968,0,true,true,true,true,0
0,8,platform_left_cap,no,"(0, 6, 32, 26)",274,0,true,true,false,false,0
1,8,platform_center_a,no,"(0, 10, 32, 18)",248,0,true,true,false,false,0
2,8,platform_center_b,no,"(0, 10, 32, 18)",254,0,true,true,false,false,0
3,8,platform_center_c,no,"(0, 10, 32, 18)",254,0,true,true,false,false,0
4,8,platform_right_cap,no,"(0, 6, 32, 26)",270,0,true,true,false,false,0
5,8,platform_broken_left,no,"(0, 6, 32, 26)",235,0,true,true,false,false,0
6,8,platform_broken_right,no,"(0, 6, 32, 26)",235,0,true,true,false,false,0
7,8,platform_support_short,no,"(12, 14, 20, 32)",144,0,false,false,false,true,0
8,8,platform_support_tall,no,"(11, 2, 21, 32)",300,0,false,false,false,true,0
9,8,platform_underhang_a,no,"(4, 0, 28, 15)",234,0,false,false,true,false,0
10,8,platform_underhang_b,no,"(4, 0, 28, 15)",234,0,false,false,true,false,0
11,8,blank_platform_reserved_8_11,yes,None,0,0,false,false,false,false,0
12,8,blank_platform_reserved_8_12,yes,None,0,0,false,false,false,false,0
13,8,blank_platform_reserved_8_13,yes,None,0,0,false,false,false,false,0
14,8,blank_platform_reserved_8_14,yes,None,0,0,false,false,false,false,0
15,8,blank_platform_reserved_8_15,yes,None,0,0,false,false,false,false,0
0,9,blank_platform_reserved_9_0,yes,None,0,0,false,false,false,false,0
1,9,blank_platform_reserved_9_1,yes,None,0,0,false,false,false,false,0
2,9,blank_platform_reserved_9_2,yes,None,0,0,false,false,false,false,0
3,9,blank_platform_reserved_9_3,yes,None,0,0,false,false,false,false,0
4,9,blank_platform_reserved_9_4,yes,None,0,0,false,false,false,false,0
5,9,blank_platform_reserved_9_5,yes,None,0,0,false,false,false,false,0
6,9,blank_platform_reserved_9_6,yes,None,0,0,false,false,false,false,0
7,9,blank_platform_reserved_9_7,yes,None,0,0,false,false,false,false,0
8,9,blank_platform_reserved_9_8,yes,None,0,0,false,false,false,false,0
9,9,blank_platform_reserved_9_9,yes,None,0,0,false,false,false,false,0
10,9,blank_platform_reserved_9_10,yes,None,0,0,false,false,false,false,0
11,9,blank_platform_reserved_9_11,yes,None,0,0,false,false,false,false,0
12,9,blank_platform_reserved_9_12,yes,None,0,0,false,false,false,false,0
